open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2019-01-01,131.45,140.67,130.0,139.1,401776.88797,54280385.598127,125799,204877.27101,27658986.5487891
2019-01-02,139.1,155.37,137.76,152.01,941486.31524,138801471.1186518,253070,452778.41302,66826091.4154906
2019-01-03,152.01,153.64,143.11,146.3,708091.31714,104953535.1485126,206600,345065.32126,51146898.6190388
2019-01-04,146.3,154.8,143.54,151.97,805248.93821,120827141.5442279,224385,398803.89556,59878325.5278251
2019-01-05,152.08,159.26,151.2,152.83,773169.13736,120238339.7822187,231172,383106.49462,59615248.3448727
2019-01-06,152.83,157.4,147.51,153.86,627908.47366,95681339.4600648,204337,318359.8694,48525641.3337721
2019-01-07,153.89,155.48,147.86,149.34,424765.30258,64310962.9190328,157568,205545.31494,31132597.0580687
2019-01-08,149.29,151.65,145.2,147.6,441661.06778,65535529.7557393,170585,220205.8156,32665110.2813971
2019-01-09,147.62,151.5,146.77,148.1,299443.563,44673066.391582,125358,154466.46066,23055106.0669205
2019-01-10,148.11,149.45,121.0,124.95,871751.75038,114437025.2827277,290765,432162.78581,56667564.7779082
2019-01-11,124.96,127.36,120.08,124.65,545293.98369,67782816.3375987,197047,286390.42731,35610799.2804517
2019-01-12,124.67,126.19,122.0,123.35,300262.13404,37295866.3538343,122024,159060.66029,19774152.7462819
2019-01-13,123.35,124.25,111.87,114.16,422561.96777,49521201.2764662,137005,228755.00345,26767549.3199914
2019-01-14,114.17,130.05,113.94,126.95,546420.40854,66801543.3050366,181074,283172.06565,34555073.9481497
2019-01-15,126.95,129.4,116.0,118.95,649020.5297,79985529.5587708,200989,323384.20597,39784995.5736818
2019-01-16,118.93,126.88,118.52,121.48,513486.65472,62314225.9960432,192912,260457.57444,31607466.0093359
2019-01-17,121.49,122.99,116.8,121.54,447535.22716,53854069.2105117,169098,231192.403,27839121.1473983
2019-01-18,121.56,121.98,117.66,119.17,235646.684,28305971.6688854,112833,118574.39197,14246528.4825557
2019-01-19,119.16,125.29,119.14,122.6,323303.79296,39715159.1649606,117187,159926.95718,19624976.2784636
2019-01-20,122.61,123.32,115.68,117.47,451792.85352,53833668.9066349,164941,222998.00633,26556584.7928595
2019-01-21,117.56,118.5,113.61,115.63,303632.93463,35258073.4282649,119538,151719.15903,17621439.7431546
2019-01-22,115.62,119.49,111.39,117.81,359542.63873,41777737.4704705,134797,191477.42643,22269617.0685721
2019-01-23,117.8,118.95,114.8,116.44,230247.61578,26975386.3924584,102993,116161.13221,13613289.9824452
2019-01-24,116.4,117.15,113.61,116.39,216242.29829,25044265.7542041,90622,109084.23085,12638375.4406635
2019-01-25,116.4,117.5,114.3,115.11,198617.08108,22977175.9541193,85660,98562.49082,11406338.5773185
2019-01-26,115.13,118.0,115.0,115.34,146216.82819,16978386.1972377,68368,75224.68609,8737349.0431997
2019-01-27,115.32,116.15,111.04,112.05,247369.60555,28158012.7304768,97152,118671.53907,13516227.6093887
2019-01-28,112.04,112.87,100.91,105.5,566205.78288,60050129.3863579,177547,280135.35398,29726784.9809435
2019-01-29,105.49,106.61,102.22,104.45,319768.91348,33427469.3450618,129221,161610.46234,16896798.3063595
2019-01-30,104.41,109.8,103.45,108.29,330968.19265,35368520.135571,118866,168310.3525,17980658.8061686
2019-01-31,108.29,110.61,105.46,106.44,290679.61935,31234353.515393,102532,146487.2295,15737903.3096407
2019-02-01,106.47,108.35,103.77,106.73,243149.88435,25791535.1460238,86314,120649.43802,12804365.5808535
2019-02-02,106.71,111.15,106.07,110.42,186908.7573,20153872.302919,67351,100348.9366,10827638.071308
2019-02-03,110.41,111.11,105.82,107.36,227211.54064,24605892.2887283,78309,104902.65217,11357020.0198699
2019-02-04,107.33,109.3,106.57,107.68,160850.10293,17312736.6001502,65698,83257.70317,8963437.5894017
2019-02-05,107.65,108.18,106.47,107.27,159730.1886,17137008.2478395,68422,82850.20631,8888920.0460278
2019-02-06,107.28,107.83,101.21,104.5,337204.30254,34984364.2970212,113955,165235.43945,17141978.430843
2019-02-07,104.49,106.18,103.82,104.48,147942.07683,15530160.6471066,68959,74195.91673,7790406.4587851
2019-02-08,104.48,123.0,103.41,119.25,589950.64925,67027886.9398639,177364,304660.09924,34611554.2420151
2019-02-09,119.32,121.99,117.64,119.19,328067.9574,39061582.3914826,118457,169285.11511,20160805.1621845
2019-02-10,119.19,126.49,115.81,125.12,385819.09619,45929459.1290131,146060,202272.64362,24082781.0228442
2019-02-11,125.12,125.28,119.24,120.89,389405.30404,47197595.845191,129000,194142.33374,23522764.7948778
2019-02-12,120.88,123.89,118.18,122.41,343765.66987,41603632.811699,114396,176467.18014,21367768.9858149
2019-02-13,122.4,126.47,120.7,121.86,317827.31956,39073077.8391656,122122,160797.73684,19767987.3275933
2019-02-14,121.86,124.5,120.1,120.42,297205.78738,36278326.0774455,101574,144929.76588,17693650.1087451
2019-02-15,120.47,124.25,120.19,121.67,255296.0814,31111280.2093057,100464,132203.05707,16114091.2765324
2019-02-16,121.66,124.99,121.54,122.67,215320.70134,26462034.6125396,84959,112117.92743,13779969.811036
2019-02-17,122.67,135.61,122.43,133.75,614788.60078,78958054.9589805,162769,293673.43938,37707750.0025147
2019-02-18,133.77,148.3,132.42,145.69,1079830.1502,152756654.6454775,299772,549759.99454,77775317.6933215
2019-02-19,145.69,150.0,142.36,143.44,747968.90445,109645050.4660972,232384,402160.07677,58949819.4880989
2019-02-20,143.45,149.52,139.6,148.44,614303.61007,89136482.3716519,191505,315381.09329,45774901.2173834
2019-02-21,148.42,149.61,142.7,145.69,447364.40873,65199779.5124385,148898,224983.85218,32795328.6439274
2019-02-22,145.68,148.85,143.85,147.36,366251.18542,53771600.8025665,129247,190056.54144,27900776.6966898
2019-02-23,147.4,159.6,145.78,157.79,588183.72896,89997516.9234365,172084,319153.58988,48851602.9893318
2019-02-24,157.75,166.0,131.7,132.1,1260506.80672,186688063.414179,351943,631974.74429,93581136.3946737
2019-02-25,132.1,141.55,131.89,137.87,801147.09543,110348892.9700245,243536,411499.33688,56650244.3099157
2019-02-26,137.88,138.41,133.72,136.22,432944.17033,58979934.7160016,145787,228006.72087,31058407.0798623
2019-02-27,136.22,140.29,126.84,135.02,567202.61035,76519497.9080148,158709,272367.46964,36764305.1281301
2019-02-28,135.03,139.0,132.1,135.34,579327.31749,78861797.5593921,183737,299413.85729,40768867.7852036
2019-03-01,135.32,137.95,134.9,135.32,302632.02831,41198722.5798789,103403,172468.84876,23485005.1955706
2019-03-02,135.32,136.12,130.03,132.56,297005.28093,39467507.6857296,113241,155921.86934,20724567.8764905
2019-03-03,132.54,134.6,128.01,130.6,222453.2859,29447917.2382588,86648,114067.58966,15112492.0667355
2019-03-04,130.6,131.11,122.6,125.65,403947.79445,51060349.7665833,140132,203832.41182,25770060.6539754
2019-03-05,125.68,137.84,125.19,136.72,512631.23178,67740644.3311417,155818,272171.77962,35984586.2047615
2019-03-06,136.71,140.29,133.33,137.4,428826.87415,58701328.649431,136000,218466.67905,29915836.7339393
2019-03-07,137.37,140.2,135.2,136.81,307336.4931,42271691.2428617,114687,152452.19592,20973151.2063981
2019-03-08,136.82,139.34,130.62,133.52,330283.58233,44879637.3870354,113160,164375.46413,22347697.9500561
2019-03-09,133.51,138.65,132.93,137.27,279861.12049,38220614.005662,111544,146108.77784,19963551.4416685
2019-03-10,137.27,137.5,134.0,135.37,203965.16815,27650702.3793393,90905,104700.49828,14196008.2586889
2019-03-11,135.37,136.15,131.0,132.67,264587.00683,35285847.7482702,101371,137778.22305,18378134.4509461
2019-03-12,132.67,135.3,130.77,133.57,194905.96843,25981446.1033466,74222,99412.59836,13253182.6337106
2019-03-13,133.62,133.65,130.58,131.65,209456.09848,27670734.4309227,87617,105332.16365,13915012.8060036
2019-03-14,131.69,135.11,128.52,132.2,258413.81868,34099414.8055834,99000,127625.33507,16848534.3629133
2019-03-15,132.24,137.62,132.18,136.56,295832.26562,39928522.3372778,103920,161856.61972,21847473.0898688
2019-03-16,136.6,144.47,136.51,140.92,474664.10197,66878173.4518186,149612,241316.08941,33988833.98348
2019-03-17,140.94,141.07,137.2,138.67,252697.08148,35051209.9303395,88617,127490.1088,17685080.5808143
2019-03-18,138.67,142.01,136.1,137.59,281718.96195,39017864.9224565,94109,136354.75075,18886795.7555508
